Eastings,Northings,Moss
665,475,
665,505,505
675,455,455
675,465,465
675,475,475
675,485,485
675,495,495
685,505,
695,445,445
695,455,
695,485,
695,495,
705,455,455
705,465,465
705,475,475
705,485,485
705,495,495
705,535,535
715,435,435
715,445,445
715,465,465
715,495,
725,445,445
725,455,
725,465,465
725,495,495
725,515,515
735,445,445
735,455,455
735,465,465
735,475,
735,515,
745,435,435
745,445,445
745,455,455
745,465,465
745,495,495
745,505,505
745,515,
755,445,445
755,455,
755,465,
755,475,475
755,575,575
755,485,485
755,495,495
755,515,
765,435,435
765,445,445
765,455,455
765,465,465
765,475,475
765,485,485
765,485,
765,505,505
775,445,445
775,465,465
775,475,475
775,485,485
775,495,495
775,505,
775,525,
785,425,425
785,435,
785,445,445
785,455,
785,485,485
795,435,
795,445,445
795,475,
795,485,485
795,495,495
805,425,
805,435,435
805,465,465
805,475,
815,415,415
815,425,425
815,435,435
815,475,
815,485,
815,495,495
815,515,
825,465,
825,475,
825,485,
825,495,
825,495,
825,505,
835,415,415
835,465,
835,485,
835,495,495
845,465,465
845,475,475
845,485,485
845,495,495
855,415,
855,475,475
855,485,485
855,495,
855,515,
865,465,465
865,485,485
865,495,
865,515,
875,485,
875,495,
875,505,
885,475,
885,485,485
885,495,
895,465,
895,495,
895,505,
895,515,
905,485,485
905,495,
905,505,
905,515,
915,475,475
915,495,
925,495,
925,515,
925,525,525
935,505,
665,465,
685,445,
695,435,
715,435,
715,455,
725,435,
735,415,
735,435,
745,415,
755,435,
775,425,
785,425,
785,435,
805,415,
695,485,
755,455,
795,475,
805,415,
835,515,
665,465,
675,445,
675,455,
675,465,
675,475,
675,495,
685,435,
685,445,
685,455,
685,465,
685,475,
685,485,
685,495,
685,505,
695,455,
695,465,
695,475,
695,485,
695,495,
695,505,
705,465,
705,475,
705,485,
705,495,
715,435,
715,455,
715,465,
715,475,
715,485,
715,495,
725,435,
725,445,
725,455,
725,465,
725,475,
725,485,
725,495,
735,415,
735,435,
735,445,
735,455,
735,465,
735,475,
735,485,
735,495,
745,415,
745,435,
745,445,
745,455,
745,465,
745,475,
745,485,
745,495,
755,425,
755,435,
755,455,
755,465,
755,475,
755,485,
755,495,
765,425,
765,435,
765,445,
765,455,
765,475,
765,485,
765,495,
765,505,
775,425,
775,435,
775,445,
775,455,
775,465,
775,485,
785,425,
785,435,
785,445,
785,465,
785,475,
785,485,
785,495,
795,415,
795,425,
795,435,
795,475,
795,485,
795,495,
805,415,
805,425,
805,435,
805,465,
805,475,
815,415,
815,425,
815,435,
815,465,
825,415,
825,425,
825,435,
825,445,
825,465,
835,415,
835,425,
835,435,
835,445,
835,465,
845,415,
845,425,
845,435,
845,445,
845,465,
855,415,
855,425,
855,435,
855,445,
855,465,
865,425,
865,435,
865,445,
865,455,
795,445,
805,445,
835,515,
855,485,
675,445,
675,455,
675,465,
685,435,
685,445,
685,455,
685,465,
685,475,
685,485,
685,495,
685,505,
695,485,
695,495,
705,465,
705,475,
705,485,
705,495,
705,505,
715,435,
715,455,
715,465,
715,475,
715,485,
715,495,
725,435,
725,445,
725,455,
725,465,
725,475,
725,485,
725,495,
735,415,
735,435,
735,445,
735,455,
735,465,
735,475,
735,485,
735,495,
745,415,
745,435,
745,445,
745,455,
745,465,
745,475,
745,485,
745,495,
755,425,
755,455,
755,465,
755,475,
755,495,
765,455,
765,485,
765,495,
775,425,
775,455,
775,465,
785,425,
785,435,
795,415,
795,425,
795,475,
795,485,
805,415,
805,425,
805,435,
805,465,
805,475,
815,415,
815,425,
815,435,
815,465,
825,415,
825,425,
825,435,
825,445,
825,465,
835,415,
835,425,
835,435,
835,445,
835,465,
845,415,
845,425,
845,435,
845,445,
845,465,
855,425,
855,435,
855,445,
855,465,
865,425,
865,435,
865,445,
865,455,
695,475,
785,485,
855,485,
665,,
665,,
665,,
665,,
675,,
675,,
675,,
675,,
675,,
675,,
675,,
685,,
685,,
685,,
685,,
685,,
685,,
685,,
685,,
695,,
695,,
695,,
695,,
695,,
695,,
705,,
705,,
705,,
705,,
705,,
705,,
705,,
715,,
715,,
715,,
715,,
715,,
715,,
715,,
725,,
725,,
725,,
725,,
725,,
725,,
725,,
725,,
725,,
725,,
735,,
735,,
735,,
735,,
735,,
735,,
735,,
735,,
735,,
735,,
735,,
745,,
745,,
745,,
745,,
745,,
745,,
745,,
745,,
745,,
745,,
745,,
745,,
755,,
755,,
755,,
755,,
755,,
755,,
755,,
755,,
765,,
765,,
765,,
765,,
765,,
765,,
765,,
765,,
775,,
775,,
775,,
775,,
775,,
775,,
775,,
785,,
785,,
785,,
785,,
785,,
785,,
785,,
785,,
795,,
795,,
795,,
795,,
795,,
795,,
805,,
805,,
805,,
805,,
805,,
815,,
815,,
815,,
815,,
825,,
825,,
825,,
825,,
825,,
835,,
835,,
835,,
835,,
835,,
845,,
845,,
845,,
845,,
845,,
855,,
855,,
855,,
855,,
855,,
865,,
865,,
865,,
865,,
755,,
755,,
805,,
795,,
815,,
825,,
835,,
825,,
835,,
845,,
845,,
845,,
865,,
875,,
865,,
865,,
885,,
915,,
675,,
675,,
675,,
685,,
685,,
685,,
695,,
695,,
705,,
705,,
705,,
715,,
715,,
715,,
715,,
715,,
715,,
725,,
725,,
725,,
725,,
725,,
725,,
735,,
735,,
735,,
735,,
735,,
735,,
735,,
735,,
745,,
745,,
745,,
745,,
745,,
745,,
745,,
745,,
755,,
755,,
755,,
755,,
755,,
765,,
765,,
765,,
785,,
785,,
795,,
795,,
805,,
805,,
805,,
815,,
815,,
815,,
825,,
825,,
825,,
825,,
835,,
835,,
835,,
835,,
845,,
845,,
845,,
845,,
855,,
855,,
855,,
855,,
865,,
865,,
865,,
865,,
875,,
875,,
875,,
875,,
685,,
755,,
775,,
795,,
665,,505
705,,535
705,,525
675,,445
675,,455
675,,465
675,,475
675,,485
675,,495
665,,445
685,,505
685,,495
685,,485
685,,445
685,,455
685,,465
695,,505
695,,495
695,,485
695,,475
695,,465
695,,455
695,,435
705,,505
705,,495
705,,485
705,,475
705,,465
715,,495
715,,485
715,,475
715,,465
715,,455
715,,435
725,,435
725,,445
725,,455
725,,465
725,,475
725,,485
725,,495
725,,505
725,,515
735,,415
735,,435
735,,445
735,,455
735,,465
735,,475
735,,485
735,,495
735,,515
745,,415
745,,435
745,,445
745,,455
745,,465
745,,475
745,,485
745,,495
745,,555
755,,425
755,,435
755,,455
755,,465
755,,475
755,,485
755,,495
755,,565
765,,435
765,,455
765,,485
765,,495
765,,505
775,,425
775,,435
775,,445
775,,455
775,,465
785,,425
785,,435
785,,445
785,,485
795,,415
795,,425
805,,415
805,,425
805,,435
815,,415
815,,425
815,,435
825,,415
825,,425
825,,435
825,,445
835,,415
835,,425
835,,435
835,,445
845,,415
845,,425
845,,435
845,,445
855,,415
855,,425
855,,435
855,,445
855,,465
865,,425
865,,435
865,,445
865,,465
875,,425
875,,435
875,,445
835,,495
865,,485
,,